description,category
description,category
ghar vada,Rent/Mortgage
ghar bhada,Rent/Mortgage
kapada,Clothing
kapada shopping,Clothing
dashain shopping,Other Expenses
paani,Utilities
pani,Utilities
bijuli,Utilities
bijuli ko bill,Utilities
sathi lai sapati,Entertainment
sapati,Entertainment
dakshina,Other Expenses
naya jutta,Clothing
naya shirt,Clothing
pant,Clothing
shirt,Clothing
naya pant,Clothing
jacket,Clothing
raksi,Entertainment
alcohol,Entertainment
chiyapatti,Groceries
gharasi samaan,Groceries
pathao,Transportation
indrive,Transportation
pathao fare,Transportation
indrive fare,Transportation
diesel,Transportation
petrol,Transportation
petrol ko paisa,Transportation
bike petrol,Transportation
car diesel,Transportation
school fees,Education
tution fees,Education
tution,Education
book,Education
copy,Education
scale,Education
ruler,Education
eraser,Education
sharpner,Education
daal,Groceries
chamal,Groceries
rice,Groceries
tarkari,Groceries
khaja kharcha,Dining
sathi vetghat,Entertainment
khana,Dining
dinner,Dining
chocolate,Dining
momo,Dining
chowmein,Dining
burger,Dining
pizza,Dining
shoes,Clothing
jutta,Clothing
trouser,Clothing
heater,Utilities
screwdriver,Other Expenses
keyboard,Other Expenses
mouse,Other Expenses
photo print,Other Expenses
photocopy,Other Expenses
project report,Education
lab output,Education
lap print,Education
printout,Education
bulb,Utilities
lightbulb,Utilities
tubelight,Utilities
mosquito net,Utilities
jhul,Utilities
good knight,Utilities
cup,Other Expenses
thal,Other Expenses
novel,Other Expenses
Bought groceries from the supermarket,Groceries
Purchased fruits and vegetables,Groceries
Weekly grocery shopping,Groceries
Dinner at a restaurant,Dining
Lunch at a cafe,Dining
Ordered pizza for delivery,Dining
Paid electricity bill,Utilities
Water bill payment,Utilities
Internet subscription fee,Utilities
Monthly rent payment,Rent/Mortgage
Mortgage installment,Rent/Mortgage
Apartment rent,Rent/Mortgage
Bus fare to work,Transportation
Fuel for the car,Transportation
Taxi ride to the airport,Transportation
Doctor's appointment,Health
Medicine from the pharmacy,Health
Gym membership fee,Health
Movie tickets,Entertainment
Concert tickets,Entertainment
Netflix subscription,Entertainment
New pair of shoes,Clothing
Winter jacket purchase,Clothing
Bought a formal shirt,Clothing
Online course subscription,Education
Textbooks for college,Education
Workshop registration fee,Education
Miscellaneous expenses,Other Expenses
Charity donation,Other Expenses
Gift for a friend,Other Expenses
Bought snacks from the store,Groceries
Breakfast at a diner,Dining
Gas bill payment,Utilities
House rent,Rent/Mortgage
Train ticket to the city,Transportation
Dental checkup,Health
Video game purchase,Entertainment
Bought a new dress,Clothing
Tuition fee payment,Education
Unexpected repair costs,Other Expenses
Bought detergent and cleaning supplies,Groceries
Coffee at a coffee shop,Dining
Phone bill payment,Utilities
Condominium maintenance fee,Rent/Mortgage
Bicycle repair costs,Transportation
Vitamins and supplements,Health
Bowling night with friends,Entertainment
Bought a new pair of jeans,Clothing
Language course fee,Education
Unexpected medical expenses,Other Expenses
Bought milk and bread from the store,Groceries
Purchased organic eggs and cheese,Groceries
Stocked up on canned goods,Groceries
Dinner at a sushi restaurant,Dining
Lunch at a burger joint,Dining
Ordered Chinese takeout,Dining
Paid the gas bill for the month,Utilities
Electricity bill for the apartment,Utilities
Monthly water bill payment,Utilities
Rent for the office space,Rent/Mortgage
Mortgage payment for the house,Rent/Mortgage
Monthly condo fee,Rent/Mortgage
Train ticket to visit family,Transportation
Car insurance premium,Transportation
Parking fee at the mall,Transportation
Annual health checkup,Health
Prescription medication,Health
Yoga class fee,Health
Tickets to a comedy show,Entertainment
Purchased a new video game,Entertainment
Subscription to Spotify,Entertainment
Bought a winter coat,Clothing
Purchased running shoes,Clothing
New sunglasses,Clothing
Online coding course,Education
Textbooks for the semester,Education
Workshop on digital marketing,Education
Donation to a local charity,Other Expenses
Gift for a family member,Other Expenses
Unexpected car repair,Other Expenses
Bought cereal and snacks,Groceries
Purchased fresh seafood,Groceries
Dinner at an Italian restaurant,Dining
Lunch at a sandwich shop,Dining
Ordered Indian food delivery,Dining
Paid the internet bill,Utilities
Monthly cable TV subscription,Utilities
Rent for the studio apartment,Rent/Mortgage
Mortgage payment for the condo,Rent/Mortgage
Bus pass for the month,Transportation
Taxi fare to the train station,Transportation
Eye exam and glasses,Health
Massage therapy session,Health
Tickets to a music festival,Entertainment
Purchased a new board game,Entertainment
Bought a summer dress,Clothing
New backpack for school,Clothing
Online photography course,Education
Seminar on personal finance,Education
Unexpected home repair,Other Expenses